epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1312.38,1.37605,0.9009,1.25774,0.76844,0.49466,0.57405,0.30333,1.43967,0.88113,1.28711,0.00333262,0.00333262,0.00333262
2,2551.47,1.42406,0.97227,1.28021,0.73167,0.48391,0.53971,0.2867,1.46165,0.92216,1.29556,0.00658346,0.00658346,0.00658346
3,3783.61,1.48467,1.06477,1.31749,0.72338,0.4631,0.51067,0.26318,1.508,1.00808,1.33928,0.0097518,0.0097518,0.0097518
4,5014.94,1.52201,1.12597,1.34476,0.70702,0.40591,0.49262,0.25604,1.49195,1.00426,1.34044,0.00962875,0.00962875,0.00962875
5,6238.57,1.50737,1.1033,1.34127,0.7267,0.45767,0.50589,0.26571,1.47995,0.97754,1.32236,0.009505,0.009505,0.009505
6,7468.22,1.49141,1.0831,1.3288,0.74906,0.45768,0.52115,0.27738,1.46471,0.96087,1.31878,0.00938125,0.00938125,0.00938125
7,8696.21,1.47683,1.06284,1.32248,0.63795,0.48665,0.52917,0.27937,1.45823,0.94563,1.31337,0.0092575,0.0092575,0.0092575
